1. STL read data
001 george 1 CE 9
002 nikos 1 CS 7.5
003 petros 2 CE 6.1
004 maria 1 CS 3.5
005 kostas 3 CS 4
006 sofia 4 CS 1
007 giannis 5 CE 9
008 stelios 2 CS 10
009 katerina 3 CE 8.5
010 christina 4 CS 9.5
2. STL add student front, add student back
011 iasonas 3 CS 7
001 george 1 CE 9
002 nikos 1 CS 7.5
003 petros 2 CE 6.1
004 maria 1 CS 3.5
005 kostas 3 CS 4
006 sofia 4 CS 1
007 giannis 5 CE 9
008 stelios 2 CS 10
009 katerina 3 CE 8.5
010 christina 4 CS 9.5
012 electra 5 CE 6
3. STL remove student 005
011 iasonas 3 CS 7
001 george 1 CE 9
002 nikos 1 CS 7.5
003 petros 2 CE 6.1
004 maria 1 CS 3.5
006 sofia 4 CS 1
007 giannis 5 CE 9
008 stelios 2 CS 10
009 katerina 3 CE 8.5
010 christina 4 CS 9.5
012 electra 5 CE 6
4. STL remove specific students
010 christina 4 CS 9.5
008 stelios 2 CS 10
002 nikos 1 CS 7.5
011 iasonas 3 CS 7
